Time,Total Energy,Total Kinetic Energy,Potential Energy,Temperature
3.9e-15,7.200256462190899e-06,7.628770461555527e-09,7.192627691729344e-06,36836.63968445529
4e-15,7.200310981231397e-06,7.69065609164763e-09,7.192620325139749e-06,37135.463547204396
4.0999999999999996e-15,7.200365500339578e-06,7.750303795368322e-09,7.19261519654421e-06,37423.48125347003
4.2e-15,7.200420019513581e-06,7.807874438602229e-09,7.192612145074979e-06,37701.46956782512
4.3e-15,7.200474538436179e-06,7.863494598376085e-09,7.1926110438378036e-06,37970.03968605144
4.4e-15,7.200529057409606e-06,7.917255857474715e-09,7.192611801552132e-06,38229.63382908915
4.5e-15,7.200741937500319e-06,7.969216610228156e-09,7.192772720890091e-06,38480.53396254542
4.6e-15,7.200796562301194e-06,8.019406323193121e-09,7.1927771559780006e-06,38722.88237002125
4.7e-15,7.200851187908461e-06,8.067831643480025e-09,7.192783356264981e-06,38956.711148066475
4.8e-15,7.182076031558624e-06,8.114483510132472e-09,7.173961548048492e-06,39181.97654452108
4.9e-15,7.172905969207028e-06,8.159344474315628e-09,7.164746624732712e-06,39398.59430512089
5e-15,7.172960488878706e-06,8.202395314245643e-09,7.16475809356446e-06,39606.471614656795
5.1e-15,7.163385776411972e-06,8.099691630058136e-09,7.155286084781914e-06,39110.5517770176
5.2e-15,7.172485131727879e-06,7.858158941396055e-09,7.164626972786483e-06,37944.27568192473
5.3e-15,7.1722668966001916e-06,7.623918916620108e-09,7.164642977683571e-06,36813.213286505634
5.4e-15,7.172057055189327e-06,7.396836067458596e-09,7.1646602191218686e-06,35716.71036572219
5.5e-15,7.162388192526169e-06,7.176781042199079e-09,7.15521141148397e-06,34654.142325814784
5.5999999999999995e-15,7.152987187459007e-06,6.96363003800838e-09,7.146023557420999e-06,33624.9113666031
5.6999999999999995e-15,7.152800815580523e-06,6.7572639562904905e-09,7.146043551624233e-06,32628.442403007524
5.7999999999999996e-15,7.1434327935782126e-06,6.557567455743409e-09,7.136875226122469e-06,31664.17849259495
5.9e-15,7.133934937920481e-06,6.364427861261649e-09,7.12757051005922e-06,30731.575567054086
6e-15,7.133509978976042e-06,6.177734091398521e-09,7.127332244884644e-06,29830.097253289434
6.1e-15,7.133351597641632e-06,5.997375450712333e-09,7.12735422219092e-06,28959.209042087372
6.2e-15,7.1240102395446704e-06,5.823240470806797e-09,7.118186999073864e-06,28118.37269190937
6.3e-15,7.1238643393579595e-06,5.655215739852944e-09,7.118209123618106e-06,27307.040577066506
6.4e-15,7.123724382567888e-06,5.493184837404159e-09,7.118231197730484e-06,26524.650544317243
6.5e-15,7.123590147470394e-06,5.337027375306406e-09,7.118253120095087e-06,25770.62128176148
6.6e-15,7.123461416513553e-06,5.186618217080231e-09,7.118274798296473e-06,25044.348549511767
6.7e-15,7.114166473305926e-06,5.041826915079143e-09,7.1091246463908465e-06,24345.202461929824
6.8e-15,7.114048036472478e-06,4.902517204465602e-09,7.109145519268012e-06,23672.525044215203
6.9e-15,7.113934482425534e-06,4.768546660563574e-09,7.109165935764971e-06,23025.62857788173
7e-15,7.113825611267174e-06,4.639766399885706e-09,7.109185844867288e-06,22403.794157123237
7.1e-15,7.113721233174229e-06,4.516020939656005e-09,7.109205212234573e-06,21806.27101049823
7.2e-15,7.113621161756875e-06,4.397148195858383e-09,7.109224013561016e-06,21232.276491506935
7.3e-15,7.1228505341105864e-06,4.282979698254063e-09,7.118567554412332e-06,20680.99711683449
7.4e-15,7.113604762613778e-06,4.1733412113624895e-09,7.109431421402416e-06,20151.591564848557
7.5e-15,7.11351645533583e-06,4.068053717000687e-09,7.109448401618829e-06,19643.195419935055
7.6e-15,7.113431779370551e-06,3.9669348864099825e-09,7.109464844484141e-06,19154.92828087845
7.7e-15,7.113350581393294e-06,3.869800886779904e-09,7.109480780506514e-06,18685.90248392799
7.8e-15,7.1041369798173325e-06,3.776468516131344e-09,7.100360511301201e-06,18235.2334113949
7.9e-15,7.104062242872249e-06,3.6867574671309798e-09,7.100375485405118e-06,17802.050422813136
8e-15,7.10399057138673e-06,3.600492513947119e-09,7.100390078872782e-06,17385.50741449429
8.1e-15,7.10392184004301e-06,3.517505455116743e-09,7.100404334587893e-06,16984.792200946766
8.199999999999999e-15,7.094738220759574e-06,3.4376367237763053e-09,7.091300584035797e-06,16599.1342901119
8.3e-15,7.0946749570802866e-06,3.3607365129148597e-09,7.091314220567372e-06,16227.810316814095
8.4e-15,7.085182609319103e-06,3.286665462427808e-09,7.081895943856675e-06,15870.147360300884
8.5e-15,7.075710993881937e-06,3.2152948666270854e-09,7.0724956990153095e-06,15525.523946236324
8.6e-15,7.0665555149656815e-06,3.14650646432817e-09,7.063409008501353e-06,15193.3690331053
8.7e-15,7.057106760697152e-06,3.0801919648610356e-09,7.054026568732291e-06,14873.1597234877
8.8e-15,7.057055405131811e-06,3.016252330393897e-09,7.054039152801417e-06,14564.41779865313
8.9e-15,7.066401451306049e-06,2.954596921474972e-09,7.063446854384574e-06,14266.705592683691
9e-15,7.057272714075148e-06,2.895142566042118e-09,7.0543775715091056e-06,13979.621497050146
9.1e-15,7.0572275198922395e-06,2.8378126272235493e-09,7.054389707265016e-06,13702.795459350635
9.2e-15,7.057184234358118e-06,2.7825360686105217e-09,7.054401698289507e-06,13435.884469842427
9.3e-15,7.057142786214883e-06,2.7292466242012595e-09,7.054413539590682e-06,13178.568553394138
9.4e-15,7.057103104105038e-06,2.6778819947889314e-09,7.054425222110249e-06,12930.546889126932
9.5e-15,7.048001515017613e-06,2.6283831594096768e-09,7.045373131858203e-06,12691.534485640095
9.6e-15,7.0479651106710855e-06,2.580693769946141e-09,7.0453844169011394e-06,12461.259257765207
9.699999999999999e-15,7.047930273650349e-06,2.5347595944727116e-09,7.045395514055876e-06,12239.45933867677
9.8e-15,7.04789694464555e-06,2.4905280873095757e-09,7.04540641655824e-06,12025.881003835035
9.899999999999999e-15,7.0478650616559755e-06,2.44794800170489e-09,7.04541711365427e-06,11820.276800764907
1e-14,7.047834567134898e-06,2.406969078522126e-09,7.045427598056376e-06,11622.404045837024
1.01e-14,7.047805404481632e-06,2.3675417913702865e-09,7.045437862690261e-06,11432.023593591548
1.02e-14,7.047777520008662e-06,2.3296171950391063e-09,7.045447902813623e-06,11248.899104885246
1.03e-14,7.047750859513364e-06,2.293146774503322e-09,7.0454577127388605e-06,11072.796317786404
1.04e-14,7.047725372536157e-06,2.258082353924507e-09,7.045467290182233e-06,10903.482608176817
1.05e-14,7.047701009499511e-06,2.224376078603254e-09,7.045476633420908e-06,10740.726902605244
1.06e-14,7.047677722736976e-06,2.191980378908482e-09,7.045485742358068e-06,10584.299504114766
1.07e-14,7.04765546704502e-06,2.1608480146131222e-09,7.0454946190304066e-06,10433.972306324162
1.08e-14,7.029263902192369e-06,2.130932113512814e-09,7.027132970078856e-06,10289.518979903962
1.09e-14,7.029243553213742e-06,2.1021862500615846e-09,7.027141366963681e-06,10150.715352280387
1.1e-14,7.029224107378097e-06,2.074564530385711e-09,7.027149542847711e-06,10017.339818137272
1.11e-14,7.029205526000646e-06,2.048021686260979e-09,7.027157504314385e-06,9889.173793199088
1.1199999999999999e-14,7.0291877711780575e-06,2.022513154726684e-09,7.027165258023331e-06,9766.002098658839
1.13e-14,7.019774950729746e-06,1.9979951985399146e-09,7.017776955531206e-06,9647.613542809286
1.1399999999999999e-14,7.019758721629933e-06,1.974425009305513e-09,7.0177842966206276e-06,9533.801419021116
1.15e-14,7.019743217186217e-06,1.9517607880170834e-09,7.0177914563982e-06,9424.363894647051
1.1599999999999999e-14,7.019728405614325e-06,1.9299618416538034e-09,7.0177984437726714e-06,9319.104477453737
1.17e-14,7.0197142570422435e-06,1.9089886627737573e-09,7.01780526837947e-06,9217.832399949866
1.18e-14,7.019700743723272e-06,1.888803004247195e-09,7.017811940719025e-06,9120.362980246704
1.19e-14,7.019687838434782e-06,1.8693679255754608e-09,7.017818470509207e-06,9026.517845715847
1.2e-14,7.019675516161062e-06,1.8506478576855034e-09,7.017824868303377e-06,8936.12524585903
1.21e-14,7.019663752179952e-06,1.8326086266582402e-09,7.017831143553294e-06,8849.02016688403
1.22e-14,7.01965252378214e-06,1.8152174686435896e-09,7.017837306313497e-06,8765.044403724092
1.23e-14,7.01964180888034e-06,1.7984430551210493e-09,7.017843365825219e-06,8684.046682012346
1.24e-14,7.010325883199256e-06,1.7822555052935252e-09,7.008543627693962e-06,8605.882717927223
1.25e-14,7.010316154367513e-06,1.7666263568409638e-09,7.008549528010672e-06,8530.41507697208
1.26e-14,7.010306879348782e-06,1.7515285693917971e-09,7.00855535077939e-06,8457.51319073758
1.27e-14,7.010298041078958e-06,1.7369364738135572e-09,7.0085611046051445e-06,8387.05311204396
1.28e-14,7.019336439877793e-06,1.7228257588003557e-09,7.017613614118993e-06,8318.91745017672
1.2899999999999999e-14,7.019328464858192e-06,1.7091734364971451e-09,7.0176192914216955e-06,8252.995204898301
1.3e-14,7.019320879713825e-06,1.6959577900825877e-09,7.017624921923742e-06,8189.181513344269
