Particles,Numba Mean PP Times,Numba Std PP Times,Numba Mean PM Times,Numba Std PM Times
10000.0,160725450.44444445,5156054.550061598,34186237.222222224,6789059.178062921
20000.0,297531946.5555556,3370340.161471872,55220686.55555555,791198.8456337933
50000.0,863929705.0,22293517.072081108,143489426.7777778,6102972.821440398
100000.0,1853292658.8888888,32059404.931813862,274475304.1111111,3871008.060369301
200000.0,3297458344.888889,34794475.24898958,533069203.5555556,9316390.423974812
500000.0,8445285999.0,55926340.89167701,1341564052.5555556,5683101.50330295
1000000.0,15463487907.11111,164605088.50119293,2648187432.3333335,86907625.37835816
