Particles,Numba Mean Times,Numba Std Times,Python Mean Times,Python Std Times,C Mean Times,C Std Times
10000.0,160725450.44444445,5156054.550061598,52607914536.333336,163079307.23580712,  265337863.600000, 2131156.02415
20000.0,297531946.5555556,3370340.161471872,76730275024.0,277367424.32474506, 504927631.900000, 3742605.081012
50000.0,863929705.0,22293517.072081108,231522380314.33334,392454988.6848664, 1325083860.000000, 3268709.061640
100000.0,1853292658.8888888,32059404.931813862,471785980084.44446,1460929868.5720708, 2797183665.000000, 8918108.953920
200000.0,3297458344.888889,34794475.24898958,771476171951.1111,2921847824.2324057, 5500078919.300000, 56084373.209427
500000.0,8445285999.0,55926340.89167701,2068121021836.3333,5795861037.992637, 14358610877.500002, 375317784.559000
