Time,Total Energy,Total Kinetic Energy,Potential Energy,Temperature
1e-16,7.234971833773045e-06,1.0377574553500873e-09,7.233934076317695e-06,5010.9644346008645
2e-16,7.235026078406827e-06,1.2162284063952737e-09,7.233809850000431e-06,5872.73765886079
3e-16,7.2350804148727115e-06,1.4733445613955602e-09,7.233607070311316e-06,7114.260812103874
4e-16,7.235134959366795e-06,1.7731950636582035e-09,7.233361764303137e-06,8562.133043509266
5e-16,7.235189662761335e-06,2.0910061303238906e-09,7.233098656631011e-06,10096.730500529779
